"condition","Rationale","Title","ID","Remediation","Result","Policy ID","Description","command","References","Compliance","Rules"
"all","Making /tmp its own file system allows an administrator to set additional mount options such as the noexec option on the mount, making /tmp useless for an attacker to install executable code. It would also prevent an attacker from establishing a hard link to a system setuid program and wait for it to be updated. Once the program was updated, the hard link would be broken and the attacker would have his own copy of the program. If the program happened to have a security vulnerability, the attacker could continue to exploit the known flaw. This can be accomplished by either mounting tmpfs to /tmp, or creating a separate partition for /tmp.","Ensure /tmp is a separate partition.",28500,"First ensure that systemd is correctly configured to ensure that /tmp will be mounted at boot time. # systemctl unmask tmp.mount For specific configuration requirements of the /tmp mount for your environment, modify /etc/fstab or tmp.mount. Example of /etc/fstab configured tmpfs file system with specific mount options: tmpfs 0 /tmp tmpfs defaults,rw,nosuid,nodev,noexec,relatime,size=2G 0 Example of tmp.mount configured tmpfs file system with specific mount options: [Unit] Description=Temporary Directory /tmp ConditionPathIsSymbolicLink=!/tmp DefaultDependencies=no Conflicts=umount.target Before=local-fs.target umount.target After=swap.target [Mount] What=tmpfs Where=/tmp Type=tmpfs.","failed","cis_ubuntu22-04","The /tmp directory is a world-writable directory used for temporary storage by all users and some applications.","findmnt --kernel /tmp","https://www.freedesktop.org/wiki/Software/systemd/APIFileSystems/,https://www.freedesktop.org/software/systemd/man/systemd-fstab-generator.html","[{""key"":""cis"",""value"":""1.1.2.1""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cis_csc_v8"",""value"":""3.3""},{""key"":""cmmc_v2.0"",""value"":""AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2""},{""key"":""hipaa"",""value"":""164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)""},{""key"":""mitre_mitigations"",""value"":""M1022""},{""key"":""mitre_tactics"",""value"":""TA0005""},{""key"":""mitre_techniques"",""value"":""T1499,T1499.001""},{""key"":""nist_sp_800-53"",""value"":""AC-5,AC-6""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""},{""key"":""pci_dss_v4.0"",""value"":""1.3.1,7.1""},{""key"":""soc_2"",""value"":""CC5.2,CC6.1""}]","[{""type"":""command"",""rule"":""c:findmnt --kernel /tmp -> r:\\s*/tmp\\s""},{""type"":""command"",""rule"":""c:systemctl is-enabled tmp.mount -> r:generated|enabled""}]"
"all","Since the /tmp filesystem is not intended to support devices, set this option to ensure that users cannot create a block or character special devices in /tmp.","Ensure nodev option set on /tmp partition.",28501,"Edit the /etc/fstab file and add nodev to the fourth field (mounting options) for the /tmp partition. Example: <device> /tmp <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /tmp with the configured options: # mount -o remount /tmp.","failed","cis_ubuntu22-04","The nodev mount option specifies that the filesystem cannot contain special devices.","findmnt --kernel /tmp","See the fstab(5) manual page for more information.","[{""key"":""cis"",""value"":""1.1.2.2""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cis_csc_v8"",""value"":""3.3""},{""key"":""cmmc_v2.0"",""value"":""AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2""},{""key"":""hipaa"",""value"":""164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)""},{""key"":""mitre_mitigations"",""value"":""M1022""},{""key"":""mitre_tactics"",""value"":""TA0005""},{""key"":""mitre_techniques"",""value"":""T1200""},{""key"":""nist_sp_800-53"",""value"":""AC-5,AC-6""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""},{""key"":""pci_dss_v4.0"",""value"":""1.3.1,7.1""},{""key"":""soc_2"",""value"":""CC5.2,CC6.1""}]","[{""type"":""command"",""rule"":""c:findmnt --kernel /tmp -> r:nodev""}]"
"all","Since the /tmp filesystem is only intended for temporary file storage, set this option to ensure that users cannot run executable binaries from /tmp.","Ensure noexec option set on /tmp partition.",28502,"Edit the /etc/fstab file and add noexec to the fourth field (mounting options) for the /tmp partition. Example: <device> /tmp <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /tmp with the configured options: # mount -o remount /tmp.","failed","cis_ubuntu22-04","The noexec mount option specifies that the filesystem cannot contain executable binaries.","findmnt --kernel /tmp","See the fstab(5) manual page for more information.","[{""key"":""cis"",""value"":""1.1.2.3""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cis_csc_v8"",""value"":""3.3""},{""key"":""cmmc_v2.0"",""value"":""AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2""},{""key"":""hipaa"",""value"":""164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)""},{""key"":""mitre_mitigations"",""value"":""M1022""},{""key"":""mitre_tactics"",""value"":""TA0005""},{""key"":""mitre_techniques"",""value"":""T1204,T1204.002""},{""key"":""nist_sp_800-53"",""value"":""AC-5,AC-6""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""},{""key"":""pci_dss_v4.0"",""value"":""1.3.1,7.1""},{""key"":""soc_2"",""value"":""CC5.2,CC6.1""}]","[{""type"":""command"",""rule"":""c:findmnt --kernel /tmp -> r:noexec""}]"
"all","Since the /tmp filesystem is only intended for temporary file storage, set this option to ensure that users cannot create setuid files in /tmp.","Ensure nosuid option set on /tmp partition.",28503,"Edit the /etc/fstab file and add nosuid to the fourth field (mounting options) for the /tmp partition. Example: <device> /tmp <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /tmp with the configured options: # mount -o remount /tmp.","failed","cis_ubuntu22-04","The nosuid mount option specifies that the filesystem cannot contain setuid files.","findmnt --kernel /tmp","See the fstab(5) manual page for more information.","[{""key"":""cis"",""value"":""1.1.2.4""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cis_csc_v8"",""value"":""3.3""},{""key"":""cmmc_v2.0"",""value"":""AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2""},{""key"":""hipaa"",""value"":""164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)""},{""key"":""mitre_mitigations"",""value"":""M1022""},{""key"":""mitre_tactics"",""value"":""TA0005""},{""key"":""mitre_techniques"",""value"":""T1548,T1548.001""},{""key"":""nist_sp_800-53"",""value"":""AC-5,AC-6""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""},{""key"":""pci_dss_v4.0"",""value"":""1.3.1,7.1""},{""key"":""soc_2"",""value"":""CC5.2,CC6.1""}]","[{""type"":""command"",""rule"":""c:findmnt --kernel /tmp -> r:nosuid""}]"
"all","The reasoning for mounting /var on a separate partition is as follow. Protection from resource exhaustion The default installation only creates a single / partition. Since the /var directory may contain world-writable files and directories, there is a risk of resource exhaustion. It will essentially have the whole disk available to fill up and impact the system as a whole. In addition, other operations on the system could fill up the disk unrelated to /var and cause unintended behavior across the system as the disk is full. See man auditd.conf for details. Fine grained control over the mount Configuring /var as its own file system allows an administrator to set additional mount options such as noexec/nosuid/nodev. These options limits an attackers ability to create exploits on the system. Other options allow for specific behaviour. See man mount for exact details regarding filesystem-independent and filesystem-specific options. Protection from exploitation An example of exploiting /var may be an attacker establishing a hard-link to a system setuid program and wait for it to be updated. Once the program was updated, the hardlink would be broken and the attacker would have his own copy of the program. If the program happened to have a security vulnerability, the attacker could continue to exploit the known flaw.","Ensure separate partition exists for /var.",28504,"For new installations, during installation create a custom partition setup and specify a separate partition for /var. For systems that were previously installed, create a new partition and configure /etc/fstab as appropriate.","failed","cis_ubuntu22-04","The /var directory is used by daemons and other system services to temporarily store dynamic data. Some directories created by these processes may be world-writable.","findmnt --kernel /var","http://tldp.org/HOWTO/LVM-HOWTO/","[{""key"":""cis"",""value"":""1.1.3.1""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cis_csc_v8"",""value"":""3.3""},{""key"":""cmmc_v2.0"",""value"":""AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2""},{""key"":""hipaa"",""value"":""164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)""},{""key"":""mitre_tactics"",""value"":""TA0006""},{""key"":""mitre_techniques"",""value"":""T1499,T1499.001""},{""key"":""nist_sp_800-53"",""value"":""AC-5,AC-6""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""},{""key"":""pci_dss_v4.0"",""value"":""1.3.1,7.1""},{""key"":""soc_2"",""value"":""CC5.2,CC6.1""}]","[{""type"":""command"",""rule"":""c:findmnt --kernel /var -> r:\\s*/var\\s""}]"
"all","Since the /var filesystem is not intended to support devices, set this option to ensure that users cannot create a block or character special devices in /var.","Ensure nodev option set on /var partition.",28505,"IF the /var partition exists, edit the /etc/fstab file and add nodev to the fourth field (mounting options) for the /var partition. Example: <device> /var <fstype> defaults,rw,nosuid,nodev,relatime 0 0 Run the following command to remount /var with the configured options: # mount -o remount /var.","failed","cis_ubuntu22-04","The nodev mount option specifies that the filesystem cannot contain special devices.","findmnt --kernel /var","See the fstab(5) manual page for more information.","[{""key"":""cis"",""value"":""1.1.3.2""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cis_csc_v8"",""value"":""3.3""},{""key"":""cmmc_v2.0"",""value"":""AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2""},{""key"":""hipaa"",""value"":""164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)""},{""key"":""mitre_mitigations"",""value"":""M1038""},{""key"":""mitre_tactics"",""value"":""TA0005""},{""key"":""mitre_techniques"",""value"":""T1200""},{""key"":""nist_sp_800-53"",""value"":""AC-5,AC-6""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""},{""key"":""pci_dss_v4.0"",""value"":""1.3.1,7.1""},{""key"":""soc_2"",""value"":""CC5.2,CC6.1""}]","[{""type"":""command"",""rule"":""c:findmnt --kernel /var -> r:nodev""}]"
"all","Since the /var filesystem is only intended for variable files such as logs, set this option to ensure that users cannot create setuid files in /var.","Ensure nosuid option set on /var partition.",28506,"IF the /var partition exists, edit the /etc/fstab file and add nosuid to the fourth field (mounting options) for the /var partition. Example: <device> /var <fstype> defaults,rw,nosuid,nodev,relatime 0 0 Run the following command to remount /var with the configured options: # mount -o remount /var.","failed","cis_ubuntu22-04","The nosuid mount option specifies that the filesystem cannot contain setuid files.","findmnt --kernel /var","See the fstab(5) manual page for more information.","[{""key"":""cis"",""value"":""1.1.3.3""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cis_csc_v8"",""value"":""3.3""},{""key"":""cmmc_v2.0"",""value"":""AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2""},{""key"":""hipaa"",""value"":""164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)""},{""key"":""mitre_mitigations"",""value"":""M1038""},{""key"":""mitre_tactics"",""value"":""TA0005""},{""key"":""mitre_techniques"",""value"":""T1548,T1548.001""},{""key"":""nist_sp_800-53"",""value"":""AC-5,AC-6""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""},{""key"":""pci_dss_v4.0"",""value"":""1.3.1,7.1""},{""key"":""soc_2"",""value"":""CC5.2,CC6.1""}]","[{""type"":""command"",""rule"":""c:findmnt --kernel /var -> r:nosuid""}]"
"all","The reasoning for mounting /var/tmp on a separate partition is as follow. Protection from resource exhaustion The default installation only creates a single / partition. Since the /var/tmp directory may contain world-writable files and directories, there is a risk of resource exhaustion. It will essentially have the whole disk available to fill up and impact the system as a whole. In addition, other operations on the system could fill up the disk unrelated to /var/tmp and cause the potential disruption to daemons as the disk is full. Fine grained control over the mount Configuring /var/tmp as its own file system allows an administrator to set additional mount options such as noexec/nosuid/nodev. These options limits an attackers ability to create exploits on the system. Other options allow for specific behavior. See man mount for exact details regarding filesystem-independent and filesystem-specific options. Protection from exploitation An example of exploiting /var/tmp may be an attacker establishing a hard-link to a system setuid program and wait for it to be updated. Once the program was updated, the hard-link would be broken and the attacker would have his own copy of the program. If the program happened to have a security vulnerability, the attacker could continue to exploit the known flaw.","Ensure separate partition exists for /var/tmp.",28507,"For new installations, during installation create a custom partition setup and specify a separate partition for /var/tmp. For systems that were previously installed, create a new partition and configure /etc/fstab as appropriate.","failed","cis_ubuntu22-04","The /var/tmp directory is a world-writable directory used for temporary storage by all users and some applications. Temporary file residing in /var/tmp is to be preserved between reboots.","findmnt --kernel /var/tmp","http://tldp.org/HOWTO/LVM-HOWTO/","[{""key"":""cis"",""value"":""1.1.4.1""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cis_csc_v8"",""value"":""3.3""},{""key"":""cmmc_v2.0"",""value"":""AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2""},{""key"":""hipaa"",""value"":""164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)""},{""key"":""mitre_mitigations"",""value"":""M1022""},{""key"":""mitre_tactics"",""value"":""TA0005""},{""key"":""mitre_techniques"",""value"":""T1499,T1499.001""},{""key"":""nist_sp_800-53"",""value"":""AC-5,AC-6""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""},{""key"":""pci_dss_v4.0"",""value"":""1.3.1,7.1""},{""key"":""soc_2"",""value"":""CC5.2,CC6.1""}]","[{""type"":""command"",""rule"":""c:findmnt --kernel /var/tmp -> r:\\s*/var/tmp\\s""}]"
"all","Since the /var/tmp filesystem is only intended for temporary file storage, set this option to ensure that users cannot run executable binaries from /var/tmp.","Ensure noexec option set on /var/tmp partition.",28508,"IF the /var/tmp partition exists, edit the /etc/fstab file and add noexec to the fourth field (mounting options) for the /var/tmp partition. Example: <device> /var/tmp 0 <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 Run the following command to remount /var/tmp with the configured options: # mount -o remount /var/tmp.","failed","cis_ubuntu22-04","The noexec mount option specifies that the filesystem cannot contain executable binaries.","findmnt --kernel /var/tmp","See the fstab(5) manual page for more information.","[{""key"":""cis"",""value"":""1.1.4.2""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cis_csc_v8"",""value"":""3.3""},{""key"":""cmmc_v2.0"",""value"":""AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2""},{""key"":""hipaa"",""value"":""164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)""},{""key"":""mitre_mitigations"",""value"":""M1022""},{""key"":""mitre_tactics"",""value"":""TA0005""},{""key"":""mitre_techniques"",""value"":""T1204,T1204.002""},{""key"":""nist_sp_800-53"",""value"":""AC-5,AC-6""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""},{""key"":""pci_dss_v4.0"",""value"":""1.3.1,7.1""},{""key"":""soc_2"",""value"":""CC5.2,CC6.1""}]","[{""type"":""command"",""rule"":""c:findmnt --kernel /var/tmp -> r:noexec""}]"
"all","Since the /var/tmp filesystem is only intended for temporary file storage, set this option to ensure that users cannot create setuid files in /var/tmp.","Ensure nosuid option set on /var/tmp partition.",28509,"IF the /var/tmp partition exists, edit the /etc/fstab file and add nosuid to the fourth field (mounting options) for the /var/tmp partition. Example: <device> /var/tmp 0 <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 Run the following command to remount /var/tmp with the configured options: # mount -o remount /var/tmp.","failed","cis_ubuntu22-04","The nosuid mount option specifies that the filesystem cannot contain setuid files.","findmnt --kernel /var/tmp","See the fstab(5) manual page for more information.","[{""key"":""cis"",""value"":""1.1.4.3""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cis_csc_v8"",""value"":""3.3""},{""key"":""cmmc_v2.0"",""value"":""AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2""},{""key"":""hipaa"",""value"":""164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)""},{""key"":""mitre_mitigations"",""value"":""M1022""},{""key"":""mitre_tactics"",""value"":""TA0005""},{""key"":""mitre_techniques"",""value"":""T1548,T1548.001""},{""key"":""nist_sp_800-53"",""value"":""AC-5,AC-6""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""},{""key"":""pci_dss_v4.0"",""value"":""1.3.1,7.1""},{""key"":""soc_2"",""value"":""CC5.2,CC6.1""}]","[{""type"":""command"",""rule"":""c:findmnt --kernel /var/tmp -> r:nosuid""}]"
